artist_name,track_name,album_name,release_date,release_year,is_album_track,explicit,is_feature,popularity,track_id,duration_ms,danceability,energy,valence,tempo,loudness,speechiness,acousticness,instrumentalness,liveness,duration_min
Reek da Villian,Go Off (feat. Kendrick Lamar),Reek What You Sow,2015-10-26,2015,FALSE,TRUE,TRUE,0,62IUpguTYDExJQL9wVMVz5,167053,0.87,691,551,102.307,-8.931,314,632,0.0,114,27.842.166.666.666.600
Ty Dolla $ign,"LA (feat. Kendrick Lamar, Brandy & James Fauntleroy)",Free TC,2015-11-13,2015,FALSE,TRUE,TRUE,0,2HyjslXPfwBapec3F6FppD,307360,354,0.5,321,75.04,-7.159,137,315,0.0,602,51.226.666.666.666.600
BJ The Chicago Kid,The New Cupid (feat. Kendrick Lamar),In My Mind,2016-02-19,2016,FALSE,TRUE,TRUE,0,45ZtBhpcxjFQG9mX5BwB4l,321080,565,808,563,127.377,-3.394,211,114,0.0,366,5.351.333.333.333.330
Kendrick Lamar,untitled 01 | 08.19.2014.,untitled unmastered.,2016-03-04,2016,TRUE,TRUE,FALSE,49,6OkOFxU6j0UufR97VgSnS7,247746,0.57,584,107,102.19,-11.708,405,321,0.0,868,4.1291
Kendrick Lamar,untitled 02 | 06.23.2014.,untitled unmastered.,2016-03-04,2016,TRUE,TRUE,FALSE,62,3I0FBDc1c1BLNtXWKVjmFg,258826,667,508,93,89.436,-10.337,451,341,0.0,644,4.313.766.666.666.660
Kendrick Lamar,untitled 03 | 05.28.2013.,untitled unmastered.,2016-03-04,2016,TRUE,TRUE,FALSE,55,2fgAJeky8Cpsr8Cfvn2NVp,154346,813,549,562,103.914,-12.427,269,608,"1,00E-06",129,2.572.433.333.333.330
Kendrick Lamar,untitled 04 | 08.14.2014.,untitled unmastered.,2016-03-04,2016,TRUE,TRUE,FALSE,48,1U13SSgDOxK98L1FTWYrjQ,110066,512,128,219,103.056,-21.49,252,864,0.0,512,18.344.333.333.333.300
Kendrick Lamar,untitled 05 | 09.21.2014.,untitled unmastered.,2016-03-04,2016,TRUE,TRUE,FALSE,56,3V8vWoCbKbfjNrPaQ4YtSg,338426,461,0.62,422,153.941,-9.822,496,321,0.0,151,5.640.433.333.333.330
Kendrick Lamar,untitled 06 | 06.30.2014.,untitled unmastered.,2016-03-04,2016,TRUE,TRUE,FALSE,56,4M2t7bP4Mq87mGMn0PObUX,208013,669,541,645,89.083,-11.291,461,992,7.69e-06,254,34.668.833.333.333.300
Kendrick Lamar,untitled 07 | 2014 - 2016,untitled unmastered.,2016-03-04,2016,TRUE,TRUE,FALSE,53,40IQooNkPRVtn4zlE3ZFpA,496173,567,463,324,126.982,-11.669,504,732,0.0,709,826.955
